(6808, 4.248, 510.4, 2168.1792)
(6889, 4.288, 514.8, 2207.4624)
(6970, 4.276, 517.6, 2213.2576)
(7052, 4.296, 522.4, 2244.2304)
(7133, 4.228, 526.8, 2227.3104)
(7214, 4.328, 520.4, 2252.2912)
(7296, 4.276, 515.6, 2204.7056)
(7377, 4.256, 517.2, 2201.2032000000004)
(7458, 4.256, 425.6, 1811.3536000000001)
(7540, 4.3, 411.2, 1768.1599999999999)
(7621, 4.328, 409.6, 1772.7488000000003)
(7702, 4.22, 402.0, 1696.4399999999998)
(7784, 4.28, 402.4, 1722.272)
(7865, 4.28, 434.0, 1857.5200000000002)
(7946, 4.288, 422.4, 1811.2512)
(8028, 4.224, 482.0, 2035.968)
(8109, 4.32, 512.4, 2213.568)
(8190, 4.224, 464.4, 1961.6256)
(8271, 4.312, 513.2, 2212.9184000000005)
(8353, 4.304, 490.4, 2110.6816)
(8434, 4.252, 488.0, 2074.976)
(8515, 4.268, 489.2, 2087.9056)
(8597, 4.304, 499.6, 2150.2784)
(8678, 4.252, 494.8, 2103.8896)
(8759, 4.22, 488.4, 2061.048)
(8841, 4.284, 492.8, 2111.1552)
(8922, 4.28, 467.6, 2001.3280000000002)
(9003, 4.312, 465.6, 2007.6672000000003)
(9085, 4.232, 454.0, 1921.3280000000002)
(9166, 4.296, 474.0, 2036.304)
(9247, 4.248, 504.0, 2140.992)
(9329, 4.252, 516.4, 2195.7327999999998)
(9410, 4.264, 553.6, 2360.5504)
(9491, 4.268, 528.8, 2256.9183999999996)
(9572, 4.236, 452.0, 1914.6719999999998)
(9654, 4.308, 494.0, 2128.152)
(9735, 4.288, 469.2, 2011.9296000000002)
(9816, 4.252, 472.0, 2006.944)
(9898, 4.26, 459.6, 1957.896)
(9979, 4.268, 473.2, 2019.6175999999998)
(10060, 4.304, 495.2, 2131.3408)
(10142, 4.2, 690.8, 2901.36)
(10223, 4.244, 564.4, 2395.3136)
(10304, 4.248, 490.4, 2083.2192)
(10386, 4.292, 496.8, 2132.2656)
(10467, 4.24, 474.0, 2009.76)
(10548, 4.312, 496.0, 2138.752)
(10630, 4.188, 570.4, 2388.8351999999995)
(10711, 4.264, 617.6, 2633.4464000000003)
(10792, 4.28, 545.6, 2335.168)
(10873, 4.268, 476.0, 2031.568)
(10955, 4.248, 490.4, 2083.2192)
(11036, 4.332, 493.2, 2136.5424)
(11117, 4.268, 488.8, 2086.1983999999998)
(11199, 4.208, 491.6, 2068.6528000000003)
(11280, 4.312, 467.6, 2016.2912000000001)
(11361, 4.268, 522.8, 2231.3104)
(11443, 4.3, 560.8, 2411.4399999999996)
(11524, 4.244, 488.4, 2072.7695999999996)
(11605, 4.276, 499.2, 2134.5791999999997)
(11687, 4.232, 478.8, 2026.2816000000003)
(11768, 4.268, 489.2, 2087.9056)
(11849, 4.264, 472.0, 2012.6080000000002)
(11931, 4.272, 500.0, 2136.0)
(12012, 4.212, 548.8, 2311.5455999999995)
(12093, 4.3, 524.8, 2256.64)
(12174, 4.328, 487.2, 2108.6016)
(12256, 4.244, 452.8, 1921.6832)
(12337, 4.332, 452.4, 1959.7967999999998)
(12418, 4.3, 462.8, 1990.04)
(12500, 4.276, 462.8, 1978.9328)
(12581, 4.236, 461.6, 1955.3376)
(12662, 4.288, 469.2, 2011.9296000000002)
(12744, 4.244, 505.2, 2144.0688)
(12825, 4.288, 656.0, 2812.9280000000003)
(12906, 4.244, 584.8, 2481.8911999999996)
(12988, 4.3, 540.8, 2325.4399999999996)
(13069, 4.224, 470.4, 1986.9696)
(13150, 4.248, 462.4, 1964.2752)
(13232, 4.312, 556.0, 2397.472)
(13313, 4.22, 634.4, 2677.1679999999997)
(13394, 4.256, 512.0, 2179.072)
(13475, 4.312, 537.6, 2318.1312000000003)
(13557, 4.28, 520.4, 2227.312)
(13638, 4.196, 524.8, 2202.0607999999997)
(13719, 4.308, 514.0, 2214.312)
(13801, 4.26, 506.8, 2158.968)
(13882, 4.316, 504.0, 2175.264)
(13963, 4.268, 504.0, 2151.072)
(14045, 4.264, 476.8, 2033.0752000000002)
(14126, 4.208, 482.0, 2028.256)
(14207, 4.288, 478.4, 2051.3792)
(14289, 4.268, 483.6, 2064.0048)
(14370, 4.276, 504.8, 2158.5248)
(14451, 4.216, 475.2, 2003.4432)
(14533, 4.3, 488.0, 2098.4)
(14614, 4.34, 504.8, 2190.832)
(14695, 4.22, 485.6, 2049.232)
(14776, 4.296, 447.6, 1922.8896000000002)
(14858, 4.292, 459.2, 1970.8863999999999)
(14939, 4.292, 436.0, 1871.312)
(15020, 4.252, 413.6, 1758.6272)
(15102, 4.292, 430.8, 1848.9936)
(15183, 4.24, 443.6, 1880.8640000000003)
(15264, 4.324, 441.2, 1907.7487999999998)
(15346, 4.268, 429.6, 1833.5328)
(15427, 4.28, 444.8, 1903.7440000000001)
(15508, 4.236, 441.6, 1870.6176)
(15590, 4.28, 661.6, 2831.648)
